date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-28T00:00:00.000+0000,r6i.2xlarge,cmp,prod,113.9670079312,389.872798,8,11228336.5824,0.0365398049427393
2023-06-28T00:00:00.000+0000,r6id.4xlarge,io,prod,6.2317666619,10.168056,16,585680.0256,0.038304806382729400
2023-06-28T00:00:00.000+0000,r6id.8xlarge,io,prod,27.618710057400000,22.703609,32,2615455.7568,0.03801530801969630
2023-06-28T00:00:00.000+0000,r6idn.4xlarge,io,prod,669.7860108598000,1098.853905,16,63293984.928000000,0.03809571544338960
2023-06-28T00:00:00.000+0000,r6idn.8xlarge,io,prod,231.8015260563,189.848334,32,21870528.0768,0.03815570848917420
2023-06-28T00:00:00.000+0000,r6in.2xlarge,cmp,prod,74.99626961840000,245.677488,8,7075511.6544,0.03815788649833480
2023-06-29T00:00:00.000+0000,c5.2xlarge,cmp,prod,29.52,120,8,3456000,0.03075
2023-06-29T00:00:00.000+0000,c5.2xlarge,io,prod,47.232,192,8,5529600,0.03075
2023-06-29T00:00:00.000+0000,m5.4xlarge,cmp,prod,429.0715241566000,907.726405,16,52285040.928,0.029543009999568700
2023-06-29T00:00:00.000+0000,m5a.4xlarge,cmp,prod,36.0993325866,60.438613,16,3481264.1088,0.037330576839387400
2023-06-29T00:00:00.000+0000,m5ad.8xlarge,io,prod,44.8051454507,36.689173,32,4226592.7296,0.038162778848527700
2023-06-29T00:00:00.000+0000,m5d.8xlarge,io,prod,3149.7674358972,2991.264526,32,344593673.3952,0.03290589365007150
2023-06-29T00:00:00.000+0000,m5dn.8xlarge,io,prod,16.6083551941,13.546388,32,1560543.8976,0.03831361539442290
2023-06-29T00:00:00.000+0000,m5n.4xlarge,cmp,prod,43.8640301435,72.48722800000000,16,4175264.3328,0.037820481753954600
2023-06-29T00:00:00.000+0000,m6a.4xlarge,cmp,prod,295.1306172564,498.166104,16,28694367.5904,0.03702713498653650
