date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-03-07,m5ad.8xlarge,io,prod,16.496692151200000,25.204725,32,2903584.32,131.072,4,2,2,16,1451792.16,0.020453372521422100
2023-03-07,m5d.8xlarge,io,prod,699.8265550708000,987.884995,32,113804351.424,131.072,4,2,2,16,56902175.712,0.022137779151066600
2023-03-07,m5dn.8xlarge,io,prod,9.0178659808,12.640834000000000,32,1456224.0768000000,131.072,4,2,2,16,728112.0384000000,0.02229349043741890
2023-03-07,m5n.4xlarge,cmp,prod,12.1215551728,23.635,16,1361376,65.536,2,1,1,8,680688,0.03205403843029410
2023-03-07,m6i.4xlarge,cmp,prod,0.0286178663,0.087223,16,5024.0448,65.536,2,1,1,8,2512.0224,0.02050625
2023-03-07,m6id.8xlarge,io,prod,0.0190440192,0.026944,32,3103.9488,131.072,4,2,2,16,1551.9744,0.0220875
2023-03-07,m6idn.8xlarge,io,prod,165.94155187870000,238.689173,32,27496992.7296,131.072,4,2,2,16,13748496.3648,0.021725633513378400
2023-03-07,m6in.4xlarge,cmp,prod,53.7138884463,87.34166500000000,16,5030879.904000000,65.536,2,1,1,8,2515439.952,0.03843661587964630
2023-03-07,r5.2xlarge,cmp,prod,2364.5283554803,11074.832221,8,318955167.9648,65.536,1,1,1,0,0,0.026688083262750300
2023-03-07,r5a.2xlarge,cmp,prod,387.6404734424,1887.929176,8,54372360.268800000,65.536,1,1,1,0,0,0.02566571871247990
2023-03-07,r5ad.4xlarge,io,prod,2030.1636397016,4210.580618,16,242529443.5968,131.072,2,2,2,0,0,0.030134852884403300
2023-03-07,r5b.2xlarge,cmp,prod,349.525271974,1030.279993,8,29672063.798400000,65.536,1,1,1,0,0,0.042406587814570900
2023-03-07,r5d.4xlarge,io,prod,1074.5145060163,2588.751955,16,149112112.608,131.072,2,2,2,0,0,0.0259419047453771
2023-03-07,r5dn.4xlarge,io,prod,3119.2879525764,7451.881758,16,429228389.2608,131.072,2,2,2,0,0,0.026161914985665200
2023-03-07,r5n.2xlarge,cmp,prod,527.0356647921,2481.537222,8,71468271.9936,65.536,1,1,1,0,0,0.02654784200493150
