relevant_date,instance_type,stack_type,env,cost,hours,DefaultVCpus,core_seconds_used,cost_per_core_hour
2023-06-10,m5.4xlarge,cmp,prod,0.442597358,1.070834,16,61680.038400000000,0.02583251454006880
2023-06-10,m5a.4xlarge,cmp,prod,2.6673705,4.5225,16,260496,0.0368625
2023-06-10,m5ad.8xlarge,io,prod,61.18456367510000,50.747219,32,5846079.6288,0.03767728857904260
2023-06-10,m5d.8xlarge,io,prod,2587.4211705135,2436.378073,32,280670754.0096,0.03318734168338040
2023-06-10,m5dn.8xlarge,io,prod,45.495181428000000,37.541106,32,4324735.4112,0.03787113836297200
2023-06-10,m5n.4xlarge,cmp,prod,16.8525227785,28.371944,16,1634223.9744,0.03712409250688810
2023-06-10,m6a.4xlarge,cmp,prod,2.6655688804,4.717499,16,271727.9424,0.03531491051190470
2023-06-10,m6i.4xlarge,cmp,prod,2.1555615211,3.826667,16,220416.0192,0.03520625
2023-06-10,m6id.8xlarge,io,prod,16.946096007800000,13.921102000000000,32,1603710.9504000000,0.03804048704217170
2023-06-10,m6idn.8xlarge,io,prod,18.0553514483,14.877499,32,1713887.8848,0.037925039199086800
2023-06-10,m6in.4xlarge,cmp,prod,11.0047666549,18.485558,16,1064768.1408000000,0.0372073115635054
2023-06-10,r5.2xlarge,cmp,prod,2065.0269564779,10630.886035,8,306169517.80800000,0.024280983608506700
2023-06-10,r5a.2xlarge,cmp,prod,19.1391401166,64.00028400000000,8,1843208.1792000000,0.03738096716219260
2023-06-10,r5ad.4xlarge,io,prod,1014.7241238526,1761.720847,16,101475120.7872,0.03599903914901420
2023-06-10,r5b.2xlarge,cmp,prod,51.7182238221,171.69333300000000,8,4944767.9904000000,0.03765305189667730
2023-06-10,r5d.4xlarge,io,prod,3965.7323772315000,6989.8057420000000,16,402612810.73920000,0.035459965945498300
2023-06-10,r5dn.4xlarge,io,prod,1690.1469366944,2894.286973,16,166710929.6448,0.03649748090940260
2023-06-10,r5n.2xlarge,cmp,prod,0.537195381,1.8052770000000000,8,51991.97760000000,0.03719618796727590
2023-06-10,r6a.2xlarge,cmp,prod,73.27948377360000,242.73749100000000,8,6990839.7408,0.03773597326875230
2023-06-10,r6i.2xlarge,cmp,prod,58.0997880152,199.960272,8,5758855.8336000000,0.03631958203127470
2023-06-10,r6id.4xlarge,io,prod,15.4562043804,25.583891,16,1473632.1216000000,0.03775863389095110
2023-06-10,r6idn.4xlarge,io,prod,602.0260817338,997.276958,16,57443152.7808,0.03772936876414070
2023-06-10,r6in.2xlarge,cmp,prod,94.7822708891,314.812503,8,9066600.0864,0.03763441333566570
2023-06-11,c5.2xlarge,cmp,prod,53.628,218,8,6278400,0.03075
2023-06-11,c5.2xlarge,io,prod,75.768,308,8,8870400,0.03075
