date,instance_type,stack_type1,env,cost,hours,DefaultVCpus,core_seconds_used,memory_gb,executor_cpu,executor_mem,num_executors,unallocated_cores,unallocated_core_seconds,cost_per_core_hour
2023-11-05 00:00:00,r5d.4xlarge,io,prod,2194.7754829775000,3228.2531200000000,16,185947379.712,131.072,2,2,2,0,0.0,0.04249154653836240
2023-11-05 00:00:00,r5d.8xlarge,io,prod,3295.2365161759,3225.0336000000000,32,371523870.72000000,262.144,4,5,4,0,0.0,0.031930253728363300
2023-11-05 00:00:00,r5dn.4xlarge,io,prod,1888.3662710802,2296.867819,16,132299586.3744,131.072,2,2,2,0,0.0,0.05138427686879120
2023-11-05 00:00:00,r5dn.8xlarge,io,prod,42.5770793182,27.296945,32,3144608.0640000000,262.144,4,5,4,0,0.0,0.048742953788189500
2023-11-05 00:00:00,r5n.2xlarge,cmp,prod,217.2068917857,626.944725,8,18056008.08,65.536,1,1,1,0,0.0,0.04330662718824620
2023-11-05 00:00:00,r6a.2xlarge,cmp,prod,573.0888226621,2476.735126,8,71329971.6288,65.536,1,1,1,0,0.0,0.028923602722289000
2023-11-05 00:00:00,r6i.2xlarge,cmp,prod,133.86758811790000,606.824745,8,17476552.656,65.536,1,1,1,0,0.0,0.027575422150488400
2023-11-05 00:00:00,r6id.4xlarge,io,prod,410.39508918240000,596.651962,16,34367153.0112,131.072,2,2,2,0,0.0,0.04298937187421840
2023-11-05 00:00:00,r6id.8xlarge,io,prod,290.9453306396,301.73890000000000,32,34760321.280000000,262.144,4,5,4,0,0.0,0.03013214929360290
2023-11-05 00:00:00,r6idn.4xlarge,io,prod,835.8350344899,953.096674,16,54898368.4224,131.072,2,2,2,0,0.0,0.054810483637905100
2023-11-05 00:00:00,r6idn.8xlarge,io,prod,138.1253008179,82.83222900000000,32,9542272.780800000,262.144,4,5,4,0,0.0,0.0521103404154363
2023-11-05 00:00:00,r6in.2xlarge,cmp,prod,111.9664129494,198.488625,8,5716472.4,65.536,1,1,1,0,0.0,0.07051185738565620
2023-11-06 00:00:00,c5.2xlarge,cmp,prod,145.15981653000000,590.080555,8,16994319.984,16.384,1,0,0,8,16994319.984,0.03075000000000000
2023-11-06 00:00:00,c5.2xlarge,io,prod,171.62975822400000,697.6819440000000,8,20093239.9872,16.384,1,0,0,8,20093239.9872,0.03075000000000000
2023-11-06 00:00:00,m5.4xlarge,cmp,prod,156.96902727760000,414.12669,16,23853697.344,65.536,2,1,1,8,11926848.672,0.02368976557596420
2023-11-06 00:00:00,m5a.4xlarge,cmp,prod,60.4247786527,157.05947900000000,16,9046625.9904,65.536,2,1,1,8,4523312.9952,0.024045340592233500
2023-11-06 00:00:00,m5ad.8xlarge,io,prod,361.59454174410000,468.615559,32,53984512.396800000,131.072,4,2,2,16,26992256.198400000,0.02411321863408960
2023-11-06 00:00:00,m5d.8xlarge,io,prod,529.4048269773,579.3139,32,66736961.28,131.072,4,2,2,16,33368480.64,0.028557748818111600
2023-11-06 00:00:00,m5dn.8xlarge,io,prod,171.284988052,141.446942,32,16294687.718400000,131.072,4,2,2,16,8147343.859200000,0.03784214632667700
2023-11-06 00:00:00,m5n.4xlarge,cmp,prod,21.3568086518,28.757232000000000,16,1656416.5632000000,65.536,2,1,1,8,828208.2816000000,0.04641616900880790
2023-11-06 00:00:00,m6a.4xlarge,cmp,prod,240.6005711779,656.655026,16,37823329.497600000,65.536,2,1,1,8,18911664.748800000,0.02290020650602430
2023-11-06 00:00:00,m6i.4xlarge,cmp,prod,14.489410925500000,39.94805900000000,16,2301008.1984000000,65.536,2,1,1,8,1150504.0992000000,0.02266914101743340
2023-11-06 00:00:00,m6id.8xlarge,io,prod,176.1006273147,201.00305800000000,32,23155552.281600000,131.072,4,2,2,16,11577776.140800000,0.02737841234029570
2023-11-06 00:00:00,m6idn.8xlarge,io,prod,1.0197744576,0.962778,32,110912.02560000000,131.072,4,2,2,16,55456.012800000000,0.033100000000000000
2023-11-06 00:00:00,m6in.4xlarge,cmp,prod,6.2547739248,10.789723000000000,16,621488.0448000000,65.536,2,1,1,8,310744.02240000000,0.036231084922198700
2023-11-06 00:00:00,r5.2xlarge,cmp,prod,2203.1283260038000,8118.467257000000,8,233811857.00160000,65.536,1,1,1,0,0.0,0.03392155588396620
2023-11-06 00:00:00,r5a.2xlarge,cmp,prod,136.86126746640000,565.9472460000000,8,16299280.684800000,65.536,1,1,1,0,0.0,0.030228362368071300
2023-11-06 00:00:00,r5ad.4xlarge,io,prod,369.6723132944,498.652788,16,28722400.5888,131.072,2,2,2,0,0.0,0.046333882286245200
2023-11-06 00:00:00,r5ad.8xlarge,io,prod,486.47521226480000,368.917493,32,42499295.1936,262.144,4,5,4,0,0.0,0.04120799547793470
2023-11-06 00:00:00,r5b.2xlarge,cmp,prod,42.6822608201,93.055009,8,2679984.2592000000,65.536,1,1,1,0,0.0,0.05733471695771370
2023-11-06 00:00:00,r5d.4xlarge,io,prod,3459.0580185226000,5071.954492,16,292144578.7392,131.072,2,2,2,0,0.0,0.042624815837496400
2023-11-06 00:00:00,r5d.8xlarge,io,prod,2982.9598139641,2825.9786280000000,32,325552737.9456000,262.144,4,5,4,0,0.0,0.03298591619298620
2023-11-06 00:00:00,r5dn.4xlarge,io,prod,1978.7476453470000,2511.968372,16,144689378.2272,131.072,2,2,2,0,0.0,0.04923299561121530
2023-11-06 00:00:00,r5dn.8xlarge,io,prod,74.4638523078,41.722776000000000,32,4806463.7952,262.144,4,5,4,0,0.0,0.0557727842610173
2023-11-06 00:00:00,r5n.2xlarge,cmp,prod,526.5430376345000,1496.8455610000000,8,43109152.15680000,65.536,1,1,1,0,0.0,0.043971055811757500
